ID,Ime,Nacionalnost,Letnica_rojstva,Visina,Klub,Drugi_klub,G,GS,Min,Tocke,DvaFG,TriFG,FT
BAE,"ANTIC, PERO",Serbia,1982,2.11,Fenerbahce Istanbul,,31,11,13:33,4.2,32.3%,33.8%,74.4%
001960,"CARROLL, JAYCEE",United States of America,1983,1.88,Real Madrid,,36,2,17:01,9.1,55.1%,43.2%,91.1%
005815,"JOHNSON, ORLANDO",United States of America,1989,1.96,Unics Kazan,,15,1,16:45,7.6,45.3%,40%,78.3%
004132,"THEIS, DANIEL",Germany,1992,2.04,Brose Bamberg,,30,1,19:44,9.6,64.5%,41%,70.9%
007230,"SEDEKERSKIS, TADAS",Lithuania,1998,2.00,Baskonia Vitoria Gasteiz,,13,0,5:00,1.3,66.7%,0%,62.5%
004418,"MCLEAN, JAMEL",United States of America,1988,2.03,EA7 Emporio Armani Milan,,30,4,20:44,8.7,59.1%,16.7%,71.6%
000622,"OHAYON, YOGEV",Israel,1987,1.89,Maccabi FOX Tel Aviv,,27,10,17:54,5.3,38.2%,44%,65.5%
005945,"RENFROE, ALEX",United States of America,1986,1.91,FC Barcelona Lassa,,17,2,17:42,3.9,44.4%,38.7%,100%
LLM,"VEREMEENKO, VLADIMIR",Russian Federation,1984,2.11,Brose Bamberg,,25,7,8:00,2.2,55.8%,0%,46.2%
LKX,"PNINI, GUY",Israel,1983,2.01,Maccabi FOX Tel Aviv,,29,1,12:39,2.6,51.9%,27.7%,53.3%
CHX,"BJELICA, MILKO",Serbia,1984,2.07,Crvena Zvezda mts Belgrade,,30,1,15:37,7.4,46.4%,19.3%,79.5%
002744,"TILLIE, KIM",France,1988,2.10,Baskonia Vitoria Gasteiz,,32,15,19:14,6.9,62.6%,40.7%,91.2%
002506,"STAIGER, LUCCA",Germany,1988,1.96,Brose Bamberg,,19,4,6:32,3.9,50%,50%,0%
ARN,"ARSLAN, ENDER",Turkey,1983,1.88,Darussafaka Dogus Istanbul,,4,0,5:51,1.5,100%,0%,80%
001108,"KULAGIN, DMITRY",Russian Federation,1992,1.96,CSKA Moscow,,17,5,10:20,3.9,43.2%,30%,80%
004862,"SEELEY, DENNIS",United States of America,1989,1.93,Maccabi FOX Tel Aviv,,26,14,20:14,7.3,46.7%,38.7%,88.7%
001274,"SMITH, DEVIN",United States of America,1983,1.98,Maccabi FOX Tel Aviv,,28,24,26:11,9.2,45.5%,35.2%,95.8%
001389,"VORONOV, EVGENY",Russian Federation,1986,1.94,Unics Kazan,,23,0,15:13,3,43.5%,19.2%,76.5%
005836,"THOMPKINS, TREY",United States of America,1990,2.08,Real Madrid,,26,3,13:41,6.1,47.4%,47.5%,81%
002946,"DRAPER, DONTAYE",United States of America,1984,1.81,Real Madrid,,29,2,13:26,2.8,53.6%,28.6%,82.4%
007355,"HACIYEVA, ORHAN",Turkey,1989,2.03,Galatasaray Odeabank Istanbul,,4,0,3:14,0,0%,0%,0%
001832,"DOELLMAN, JUSTIN",United States of America,1985,2.06,FC Barcelona Lassa,,15,14,19:57,7.8,40.9%,53.6%,94.7%
003537,"MANTZARIS, VANGELIS",Greece,1990,1.94,Olympiacos Piraeus,,37,37,23:40,5.8,30.4%,36.4%,69.6%
002969,"MAHMUTOGLU, MELIH",Turkey,1990,1.91,Fenerbahce Istanbul,,20,4,10:23,4,38.5%,43.8%,100%
CPR,"SIMON, KRUNOSLAV",Croatia,1985,1.97,EA7 Emporio Armani Milan,,21,9,27:38,11,52.1%,37%,87.5%
LLH,"FRIDZON, VITALY",Russian Federation,1985,1.95,CSKA Moscow,,35,6,12:56,5.9,58.4%,41.7%,86%
001324,"MUHAMMED, ALI",United States of America,1983,1.78,Fenerbahce Istanbul,,34,25,25:21,11.4,46%,38.8%,90.6%
TGB,"LLULL, SERGIO",Spain,1987,1.90,Real Madrid,,33,33,27:48,16.5,51%,33%,84.7%
005014,"JENKINS, CHARLES",United States of America,1989,1.91,Crvena Zvezda mts Belgrade,,30,29,26:05,9.4,45.2%,42.5%,84.8%
003540,"DIOP, ILIMANE",Spain,1995,2.11,Baskonia Vitoria Gasteiz,,33,9,13:46,4.1,57.3%,0%,74.4%
003482,"NICHOLS, DEMETRIS",United States of America,1984,2.03,Panathinaikos Superfoods Athens,,32,19,15:18,3.8,45.3%,35.4%,87.5%
003210,"LEKAVICIUS, LUKAS",Lithuania,1994,1.83,Zalgiris Kaunas,,30,0,18:06,8.5,50.7%,33.8%,75.9%
LSK,"PANIN, VADIM",Russian Federation,1984,2.03,Unics Kazan,,26,21,18:13,2.9,60%,37.5%,66.7%
005460,"HARRIS, ELIAS",Germany,1989,2.03,Brose Bamberg,,3,1,5:09,2.3,60%,0%,50%
003269,"REBIC, NIKOLA",Serbia,1995,1.88,Crvena Zvezda mts Belgrade,,2,0,7:25,1,25%,0%,0%
ATS,"BANIC, MARKO",Croatia,1984,2.04,Unics Kazan,,24,4,13:25,4.6,61.4%,0%,81.8%
005161,"PAPAPETROU, IOANNIS",Greece,1994,2.07,Olympiacos Piraeus,,36,6,15:51,4.4,46.1%,33.3%,68.8%
006533,"COLOM, QUINO",Spain,1988,1.88,Unics Kazan,,25,22,26:48,11.3,44.6%,33.3%,80.7%
